take_width,clear_width,default_edge,soft_position_limit,total_pnl,D-2,D-1,D=0,ASH_COATED_OSMIUM_total,INTARIAN_PEPPER_ROOT_total
3,1,3,50,149171.0,50181.0,82617.0,16373.0,46666.0,102505.0
3,1,2,50,149154.0,50167.0,82607.0,16380.0,46649.0,102505.0
3,1,4,50,149078.0,50181.0,82617.0,16280.0,46573.0,102505.0
3,1,5,50,149078.0,50181.0,82617.0,16280.0,46573.0,102505.0
3,1,2,40,149064.0,50124.0,82576.0,16364.0,46559.0,102505.0
3,1,3,40,149021.0,50138.0,82586.0,16297.0,46516.0,102505.0
3,1,4,40,148928.0,50138.0,82586.0,16204.0,46423.0,102505.0
3,1,5,40,148928.0,50138.0,82586.0,16204.0,46423.0,102505.0
3,0,2,50,148870.0,50327.0,82661.0,15882.0,46365.0,102505.0
3,1,3,30,148825.0,50069.0,82540.0,16216.0,46320.0,102505.0
3,0,3,50,148812.0,50341.0,82644.0,15827.0,46307.0,102505.0
3,1,2,30,148791.0,50055.0,82524.0,16212.0,46286.0,102505.0
3,0,2,40,148724.0,50268.0,82620.0,15836.0,46219.0,102505.0
3,0,4,50,148675.0,50341.0,82644.0,15690.0,46170.0,102505.0
3,0,5,50,148675.0,50341.0,82644.0,15690.0,46170.0,102505.0
3,0,3,40,148664.0,50277.0,82606.0,15781.0,46159.0,102505.0
3,1,4,30,148652.0,50069.0,82540.0,16043.0,46147.0,102505.0
3,1,5,30,148652.0,50069.0,82540.0,16043.0,46147.0,102505.0
3,0,2,30,148632.0,50243.0,82648.0,15741.0,46127.0,102505.0
3,0,3,30,148579.0,50252.0,82641.0,15686.0,46074.0,102505.0
3,1,3,20,148563.0,50021.0,82434.0,16108.0,46058.0,102505.0
3,1,2,20,148541.0,50007.0,82430.0,16104.0,46036.0,102505.0
3,0,4,40,148507.0,50277.0,82606.0,15624.0,46002.0,102505.0
3,0,5,40,148507.0,50277.0,82606.0,15624.0,46002.0,102505.0
3,1,4,20,148465.0,50021.0,82434.0,16010.0,45960.0,102505.0
3,1,5,20,148465.0,50021.0,82434.0,16010.0,45960.0,102505.0
3,0,4,30,148436.0,50252.0,82641.0,15543.0,45931.0,102505.0
3,0,5,30,148436.0,50252.0,82641.0,15543.0,45931.0,102505.0
3,0,2,20,148407.0,50199.0,82522.0,15686.0,45902.0,102505.0
3,0,3,20,148318.0,50197.0,82488.0,15633.0,45813.0,102505.0
3,0,4,20,148177.0,50197.0,82488.0,15492.0,45672.0,102505.0
3,0,5,20,148177.0,50197.0,82488.0,15492.0,45672.0,102505.0
2,1,2,50,148129.0,49420.0,82731.0,15978.0,45624.0,102505.0
2,1,3,50,148129.0,49420.0,82731.0,15978.0,45624.0,102505.0
2,1,4,50,148129.0,49420.0,82731.0,15978.0,45624.0,102505.0
2,1,5,50,148129.0,49420.0,82731.0,15978.0,45624.0,102505.0
2,1,2,40,148006.0,49395.0,82667.0,15944.0,45501.0,102505.0
2,1,3,40,148006.0,49395.0,82667.0,15944.0,45501.0,102505.0
2,1,4,40,148006.0,49395.0,82667.0,15944.0,45501.0,102505.0
2,1,5,40,148006.0,49395.0,82667.0,15944.0,45501.0,102505.0
2,1,2,30,147783.0,49309.0,82624.0,15850.0,45278.0,102505.0
2,1,3,30,147783.0,49309.0,82624.0,15850.0,45278.0,102505.0
2,1,4,30,147783.0,49309.0,82624.0,15850.0,45278.0,102505.0
2,1,5,30,147783.0,49309.0,82624.0,15850.0,45278.0,102505.0
2,0,2,50,147554.0,49483.0,82669.0,15402.0,45049.0,102505.0
2,0,3,50,147554.0,49483.0,82669.0,15402.0,45049.0,102505.0
2,0,4,50,147554.0,49483.0,82669.0,15402.0,45049.0,102505.0
2,0,5,50,147554.0,49483.0,82669.0,15402.0,45049.0,102505.0
2,1,2,20,147532.0,49235.0,82535.0,15762.0,45027.0,102505.0
2,1,3,20,147532.0,49235.0,82535.0,15762.0,45027.0,102505.0
2,1,4,20,147532.0,49235.0,82535.0,15762.0,45027.0,102505.0
2,1,5,20,147532.0,49235.0,82535.0,15762.0,45027.0,102505.0
2,0,2,40,147464.0,49444.0,82597.0,15423.0,44959.0,102505.0
2,0,3,40,147459.0,49439.0,82597.0,15423.0,44954.0,102505.0
2,0,4,40,147459.0,49439.0,82597.0,15423.0,44954.0,102505.0
2,0,5,40,147459.0,49439.0,82597.0,15423.0,44954.0,102505.0
2,0,2,30,147364.0,49405.0,82629.0,15330.0,44859.0,102505.0
2,0,3,30,147350.0,49391.0,82629.0,15330.0,44845.0,102505.0
2,0,4,30,147350.0,49391.0,82629.0,15330.0,44845.0,102505.0
2,0,5,30,147350.0,49391.0,82629.0,15330.0,44845.0,102505.0
2,0,2,20,147167.0,49324.0,82533.0,15310.0,44662.0,102505.0
2,0,3,20,147162.0,49319.0,82533.0,15310.0,44657.0,102505.0
2,0,4,20,147162.0,49319.0,82533.0,15310.0,44657.0,102505.0
2,0,5,20,147162.0,49319.0,82533.0,15310.0,44657.0,102505.0
1,0,2,50,146689.0,48784.0,82246.0,15659.0,44184.0,102505.0
1,0,3,50,146689.0,48784.0,82246.0,15659.0,44184.0,102505.0
1,0,4,50,146689.0,48784.0,82246.0,15659.0,44184.0,102505.0
1,0,5,50,146689.0,48784.0,82246.0,15659.0,44184.0,102505.0
1,0,2,40,146540.0,48745.0,82156.0,15639.0,44035.0,102505.0
1,0,3,40,146540.0,48745.0,82156.0,15639.0,44035.0,102505.0
1,0,4,40,146540.0,48745.0,82156.0,15639.0,44035.0,102505.0
1,0,5,40,146540.0,48745.0,82156.0,15639.0,44035.0,102505.0
1,0,2,30,146339.0,48700.0,82094.0,15545.0,43834.0,102505.0
1,0,3,30,146339.0,48700.0,82094.0,15545.0,43834.0,102505.0
1,0,4,30,146339.0,48700.0,82094.0,15545.0,43834.0,102505.0
1,0,5,30,146339.0,48700.0,82094.0,15545.0,43834.0,102505.0
1,0,2,20,146142.0,48580.0,82028.0,15534.0,43637.0,102505.0
1,0,3,20,146142.0,48580.0,82028.0,15534.0,43637.0,102505.0
1,0,4,20,146142.0,48580.0,82028.0,15534.0,43637.0,102505.0
1,0,5,20,146142.0,48580.0,82028.0,15534.0,43637.0,102505.0
1,1,2,50,145833.0,48697.0,81692.0,15444.0,43328.0,102505.0
1,1,3,50,145833.0,48697.0,81692.0,15444.0,43328.0,102505.0
1,1,4,50,145833.0,48697.0,81692.0,15444.0,43328.0,102505.0
1,1,5,50,145833.0,48697.0,81692.0,15444.0,43328.0,102505.0
1,1,2,40,145668.0,48644.0,81620.0,15404.0,43163.0,102505.0
1,1,3,40,145668.0,48644.0,81620.0,15404.0,43163.0,102505.0
1,1,4,40,145668.0,48644.0,81620.0,15404.0,43163.0,102505.0
1,1,5,40,145668.0,48644.0,81620.0,15404.0,43163.0,102505.0
1,1,2,30,145473.0,48559.0,81577.0,15337.0,42968.0,102505.0
1,1,3,30,145473.0,48559.0,81577.0,15337.0,42968.0,102505.0
1,1,4,30,145473.0,48559.0,81577.0,15337.0,42968.0,102505.0
1,1,5,30,145473.0,48559.0,81577.0,15337.0,42968.0,102505.0
1,1,2,20,145246.0,48476.0,81500.0,15270.0,42741.0,102505.0
1,1,3,20,145246.0,48476.0,81500.0,15270.0,42741.0,102505.0
1,1,4,20,145246.0,48476.0,81500.0,15270.0,42741.0,102505.0
1,1,5,20,145246.0,48476.0,81500.0,15270.0,42741.0,102505.0
