take_width,adverse_volume,reversion_beta,default_edge,total_pnl,D-2,D-1,D=0,ASH_COATED_OSMIUM_total,INTARIAN_PEPPER_ROOT_total
2,10,-0.229,2,181791.5,64772.5,83767.0,33252.0,44035.0,137756.5
2,10,-0.229,1,181752.5,64733.5,83767.0,33252.0,44035.0,137717.5
2,25,0.0,2,176896.0,40701.0,72714.0,63481.0,44035.0,132861.0
1,25,0.0,2,176095.0,40701.0,72714.0,62680.0,44035.0,132060.0
1,25,0.0,1,176065.0,40679.0,72706.0,62680.0,44035.0,132030.0
2,25,0.0,1,176065.0,40679.0,72706.0,62680.0,44035.0,132030.0
2,25,-0.229,2,169865.5,38453.5,74823.0,56589.0,44035.0,125830.5
1,25,-0.229,2,167473.5,40183.5,74833.0,52457.0,44035.0,123438.5
1,25,-0.229,1,167443.5,40161.5,74825.0,52457.0,44035.0,123408.5
2,25,-0.229,1,165924.5,38431.5,74815.0,52678.0,44035.0,121889.5
1,10,-0.229,2,164541.5,55012.5,79391.0,30138.0,44035.0,120506.5
1,10,-0.229,1,164497.5,54973.5,79391.0,30133.0,44035.0,120462.5
2,10,-0.5,2,161613.5,63756.5,77401.0,20456.0,44035.0,117578.5
2,10,-0.5,1,161566.5,63717.5,77401.0,20448.0,44035.0,117531.5
2,10,0.229,2,159679.5,53803.5,81961.0,23915.0,44035.0,115644.5
2,10,0.229,1,159633.5,53764.5,81961.0,23908.0,44035.0,115598.5
2,10,0.0,2,159069.5,44703.5,80414.0,33952.0,44035.0,115034.5
2,10,0.0,1,159024.5,44661.5,80414.0,33949.0,44035.0,114989.5
1,10,-0.5,2,158140.5,58091.5,74145.0,25904.0,44035.0,114105.5
1,10,-0.5,1,158093.5,58052.5,74145.0,25896.0,44035.0,114058.5
2,15,-0.229,2,149727.0,51262.0,82826.0,15639.0,44035.0,105692.0
2,15,-0.229,1,149688.0,51223.0,82826.0,15639.0,44035.0,105653.0
1,15,-0.229,2,146579.0,48784.0,82156.0,15639.0,44035.0,102544.0
1,15,-0.229,1,146540.0,48745.0,82156.0,15639.0,44035.0,102505.0
2,20,-0.229,2,145214.5,43370.5,68564.0,33280.0,44035.0,101179.5
2,20,-0.229,1,145185.5,43341.5,68564.0,33280.0,44035.0,101150.5
1,10,0.0,2,141146.5,41243.5,75736.0,24167.0,44035.0,97111.5
1,10,0.0,1,141096.5,41201.5,75736.0,24159.0,44035.0,97061.5
1,20,-0.229,2,140011.5,42349.5,66596.0,31066.0,44035.0,95976.5
1,20,-0.229,1,139982.5,42320.5,66596.0,31066.0,44035.0,95947.5
2,15,-0.5,2,136185.0,42753.0,69465.0,23967.0,44035.0,92150.0
2,15,-0.5,1,136143.0,42711.0,69465.0,23967.0,44035.0,92108.0
1,15,-0.5,2,133065.0,44089.0,69745.0,19231.0,44035.0,89030.0
1,15,-0.5,1,133023.0,44047.0,69745.0,19231.0,44035.0,88988.0
1,10,0.229,2,129730.5,34092.5,78751.0,16887.0,44035.0,85695.5
1,10,0.229,1,129680.5,34050.5,78751.0,16879.0,44035.0,85645.5
1,25,-0.5,2,125118.0,40681.0,45520.0,38917.0,44035.0,81083.0
1,25,-0.5,1,125088.0,40659.0,45512.0,38917.0,44035.0,81053.0
1,20,-0.5,2,124949.0,43680.0,48169.0,33100.0,44035.0,80914.0
1,20,-0.5,1,124917.0,43648.0,48169.0,33100.0,44035.0,80882.0
2,15,0.229,2,120772.5,45463.5,77364.0,-2055.0,44035.0,76737.5
2,15,0.229,1,120730.5,45421.5,77364.0,-2055.0,44035.0,76695.5
2,20,0.0,2,102532.0,23582.0,68754.0,10196.0,44035.0,58497.0
2,20,0.0,1,102500.0,23550.0,68754.0,10196.0,44035.0,58465.0
1,20,0.0,2,100176.0,23582.0,68754.0,7840.0,44035.0,56141.0
1,20,0.0,1,100144.0,23550.0,68754.0,7840.0,44035.0,56109.0
2,15,0.0,2,88301.0,18401.0,58695.0,11205.0,44035.0,44266.0
2,15,0.0,1,88259.0,18359.0,58695.0,11205.0,44035.0,44224.0
2,20,-0.5,2,83678.5,25361.5,39382.0,18935.0,44035.0,39643.5
2,20,-0.5,1,83646.5,25329.5,39382.0,18935.0,44035.0,39611.5
1,15,0.0,2,83252.0,18401.0,58695.0,6156.0,44035.0,39217.0
1,15,0.0,1,83210.0,18359.0,58695.0,6156.0,44035.0,39175.0
1,15,0.229,2,78141.0,1075.0,70872.0,6194.0,44035.0,34106.0
1,15,0.229,1,78099.0,1033.0,70872.0,6194.0,44035.0,34064.0
2,25,-0.5,2,75831.5,18104.5,32907.0,24820.0,44035.0,31796.5
2,25,-0.5,1,75589.5,18082.5,32899.0,24608.0,44035.0,31554.5
2,20,0.229,2,18871.5,3275.5,27549.0,-11953.0,44035.0,-25163.5
2,20,0.229,1,18839.5,3243.5,27549.0,-11953.0,44035.0,-25195.5
1,20,0.229,2,3431.5,-10110.5,24787.0,-11245.0,44035.0,-40603.5
1,20,0.229,1,3399.5,-10142.5,24787.0,-11245.0,44035.0,-40635.5
2,25,0.229,2,-14568.0,-20332.0,12087.0,-6323.0,44035.0,-58603.0
2,25,0.229,1,-15245.0,-20354.0,12079.0,-6970.0,44035.0,-59280.0
1,25,0.229,2,-26632.5,-32799.5,13627.0,-7460.0,44035.0,-70667.5
1,25,0.229,1,-26670.5,-32821.5,13619.0,-7468.0,44035.0,-70705.5
